Intento,Score,std_dev,Reward_Dist,Reward_Ctrl,Reward_Near_Object,Reward_Contact,Episode_Length,TD_Error,Actor_Loss,Critic_Loss,Policy_Gradients
975,-39.97749092849161,0.2,-0.25008447300357783,-0.0926288783848286,-0.05706155789650977,0.0,100,0.0,0.0,0.0,4.450695676803589
975,-45.76436534793952,0.2,-0.3155584026742256,-0.07087365087866783,-0.07121159992650185,0.0,100,0.0,0.0,0.0,4.450695676803589
975,-50.56752971524632,0.2,-0.34825136741572765,-0.08171806964278222,-0.07570586009395339,0.0,100,0.0,0.0,0.0,4.450695676803589
1000,-40.75059400448696,0.2,-0.22170412981630566,-0.10100252360105515,-0.0847992866275087,0.0,100,0.0,0.0,0.0,4.450695676803589
1000,-48.20627824998203,0.2,-0.30654003806107416,-0.08464002531766891,-0.09088271912107737,0.0,100,0.0,0.0,0.0,4.450695676803589
1000,-43.60319252822879,0.2,-0.2468809300070184,-0.11181065726280211,-0.0773403380124675,0.0,100,0.0,0.0,0.0,4.450695676803589
1000,-39.855782213767306,0.2,-0.23745810264774034,-0.07565097769349814,-0.08544874179643445,0.0,100,0.0,0.0,0.0,4.450695676803589
1000,-37.27143048437857,0.2,-0.21016409250949736,-0.07884003910608589,-0.08371017322820253,0.0,100,0.0,0.0,0.0,4.450695676803589
1025,-38.11553562940387,0.2,-0.22710021350000797,-0.07738918352127074,-0.07666595927275982,0.0,100,0.0,0.0,0.0,4.450695676803589
1025,-37.0845426808375,0.2,-0.2158955655050476,-0.07561414986848831,-0.07933571143483902,0.0,100,0.0,0.0,0.0,4.450695676803589
1025,-41.76269908300446,0.2,-0.24331782866409082,-0.0782858525812626,-0.096023309584691,0.0,100,0.0,0.0,0.0,4.450695676803589
1025,-44.18207519802616,0.2,-0.2886996885063643,-0.07096806490421297,-0.08215299856968439,0.0,100,0.0,0.0,0.0,4.450695676803589
